Numer of labeled samples:38671   AUC:0.853
Numer of labeled samples:38841   AUC:0.853
Numer of labeled samples:38729   AUC:0.850
Numer of labeled samples:38624   AUC:0.850
Numer of labeled samples:38830   AUC:0.852
Numer of labeled samples:38597   AUC:0.852
Numer of labeled samples:38849   AUC:0.851
Numer of labeled samples:38796   AUC:0.849
Numer of labeled samples:38784   AUC:0.850
Numer of labeled samples:38724   AUC:0.843
Numer of labeled samples:38916   AUC:0.855
Numer of labeled samples:38700   AUC:0.853
Numer of labeled samples:38830   AUC:0.851
Numer of labeled samples:38730   AUC:0.844
Numer of labeled samples:38844   AUC:0.849
Numer of labeled samples:38833   AUC:0.851
Numer of labeled samples:38809   AUC:0.851
Numer of labeled samples:38743   AUC:0.847
Numer of labeled samples:38839   AUC:0.847
Numer of labeled samples:38944   AUC:0.853
Numer of labeled samples:38912   AUC:0.844
Numer of labeled samples:38893   AUC:0.848
Numer of labeled samples:38839   AUC:0.853
Numer of labeled samples:38958   AUC:0.850
Numer of labeled samples:38971   AUC:0.847
Numer of labeled samples:38886   AUC:0.851
Numer of labeled samples:39018   AUC:0.853
Numer of labeled samples:38920   AUC:0.848
Numer of labeled samples:39159   AUC:0.852
Numer of labeled samples:38909   AUC:0.850
Numer of labeled samples:39014   AUC:0.854
Numer of labeled samples:38990   AUC:0.848
Numer of labeled samples:39093   AUC:0.853
Numer of labeled samples:39018   AUC:0.849
Numer of labeled samples:39108   AUC:0.851
Numer of labeled samples:39014   AUC:0.846
Numer of labeled samples:39097   AUC:0.852
Numer of labeled samples:39105   AUC:0.847
Numer of labeled samples:39069   AUC:0.847
Numer of labeled samples:39131   AUC:0.849
Numer of labeled samples:39077   AUC:0.854
Numer of labeled samples:39031   AUC:0.850
Numer of labeled samples:39051   AUC:0.855
Numer of labeled samples:39036   AUC:0.850
Numer of labeled samples:39217   AUC:0.855
Numer of labeled samples:39126   AUC:0.842
Numer of labeled samples:39166   AUC:0.849
Numer of labeled samples:39116   AUC:0.849
Numer of labeled samples:39339   AUC:0.853
