Epoch:250   Accuracy:73.22
Epoch:251   Accuracy:72.90
Epoch:252   Accuracy:72.97
Epoch:253   Accuracy:73.31
Epoch:254   Accuracy:73.10
Epoch:255   Accuracy:72.86
Epoch:256   Accuracy:73.20
Epoch:257   Accuracy:72.74
Epoch:258   Accuracy:72.69
Epoch:259   Accuracy:72.79
Epoch:260   Accuracy:73.11
Epoch:261   Accuracy:73.18
Epoch:262   Accuracy:72.75
Epoch:263   Accuracy:73.08
Epoch:264   Accuracy:72.46
Epoch:265   Accuracy:72.52
Epoch:266   Accuracy:73.05
Epoch:267   Accuracy:73.11
Epoch:268   Accuracy:72.95
Epoch:269   Accuracy:72.78
Epoch:270   Accuracy:72.98
Epoch:271   Accuracy:73.01
Epoch:272   Accuracy:73.09
Epoch:273   Accuracy:72.98
Epoch:274   Accuracy:72.57
Epoch:275   Accuracy:72.94
Epoch:276   Accuracy:73.08
Epoch:277   Accuracy:73.25
Epoch:278   Accuracy:72.72
Epoch:279   Accuracy:72.93
Epoch:280   Accuracy:72.78
Epoch:281   Accuracy:72.93
Epoch:282   Accuracy:72.99
Epoch:283   Accuracy:72.88
Epoch:284   Accuracy:73.43
Epoch:285   Accuracy:72.84
Epoch:286   Accuracy:73.29
Epoch:287   Accuracy:72.88
Epoch:288   Accuracy:72.70
Epoch:289   Accuracy:72.36
Epoch:290   Accuracy:72.88
Epoch:291   Accuracy:73.15
Epoch:292   Accuracy:72.67
Epoch:293   Accuracy:72.91
Epoch:294   Accuracy:72.87
Epoch:295   Accuracy:73.27
Epoch:296   Accuracy:72.97
Epoch:297   Accuracy:73.21
Epoch:298   Accuracy:73.45
Epoch:299   Accuracy:73.38
Epoch:300   Accuracy:72.76
