Epoch:340   Accuracy:74.06
Epoch:341   Accuracy:73.89
Epoch:342   Accuracy:74.35
Epoch:343   Accuracy:73.94
Epoch:344   Accuracy:74.01
Epoch:345   Accuracy:73.88
Epoch:346   Accuracy:73.85
Epoch:347   Accuracy:73.99
Epoch:348   Accuracy:74.08
Epoch:349   Accuracy:73.95
Epoch:350   Accuracy:73.87
Epoch:351   Accuracy:74.44
Epoch:352   Accuracy:74.14
Epoch:353   Accuracy:73.26
Epoch:354   Accuracy:73.85
Epoch:355   Accuracy:74.24
Epoch:356   Accuracy:73.52
Epoch:357   Accuracy:73.91
Epoch:358   Accuracy:74.09
Epoch:359   Accuracy:74.11
Epoch:360   Accuracy:73.84
Epoch:361   Accuracy:73.86
Epoch:362   Accuracy:73.62
Epoch:363   Accuracy:73.95
Epoch:364   Accuracy:74.08
Epoch:365   Accuracy:74.18
Epoch:366   Accuracy:73.55
Epoch:367   Accuracy:73.80
Epoch:368   Accuracy:74.32
Epoch:369   Accuracy:73.91
Epoch:370   Accuracy:74.22
Epoch:371   Accuracy:74.20
Epoch:372   Accuracy:73.76
Epoch:373   Accuracy:74.29
Epoch:374   Accuracy:73.81
Epoch:375   Accuracy:73.28
Epoch:376   Accuracy:74.18
Epoch:377   Accuracy:74.12
Epoch:378   Accuracy:74.05
Epoch:379   Accuracy:74.28
Epoch:380   Accuracy:74.42
Epoch:381   Accuracy:73.78
Epoch:382   Accuracy:74.12
Epoch:383   Accuracy:73.82
Epoch:384   Accuracy:73.50
Epoch:385   Accuracy:74.48
Epoch:386   Accuracy:73.96
Epoch:387   Accuracy:74.16
Epoch:388   Accuracy:73.68
Epoch:389   Accuracy:74.53
Epoch:390   Accuracy:74.49
Epoch:391   Accuracy:74.26
Epoch:392   Accuracy:74.49
Epoch:393   Accuracy:74.57
Epoch:394   Accuracy:74.10
Epoch:395   Accuracy:74.11
Epoch:396   Accuracy:74.29
Epoch:397   Accuracy:74.19
Epoch:398   Accuracy:73.85
Epoch:399   Accuracy:74.21
Epoch:400   Accuracy:74.44
Epoch:401   Accuracy:74.43
Epoch:402   Accuracy:74.13
Epoch:403   Accuracy:73.79
Epoch:404   Accuracy:74.09
Epoch:405   Accuracy:74.20
Epoch:406   Accuracy:74.27
Epoch:407   Accuracy:74.67
Epoch:408   Accuracy:74.05
Epoch:409   Accuracy:74.20
Epoch:410   Accuracy:74.01
Epoch:411   Accuracy:74.17
Epoch:412   Accuracy:73.95
Epoch:413   Accuracy:74.16
Epoch:414   Accuracy:74.24
Epoch:415   Accuracy:74.50
Epoch:416   Accuracy:74.42
Epoch:417   Accuracy:74.29
Epoch:418   Accuracy:74.57
Epoch:419   Accuracy:74.10
Epoch:420   Accuracy:73.58
Epoch:421   Accuracy:73.98
Epoch:422   Accuracy:73.15
Epoch:423   Accuracy:73.77
Epoch:424   Accuracy:74.17
Epoch:425   Accuracy:74.02
Epoch:426   Accuracy:73.88
Epoch:427   Accuracy:74.13
Epoch:428   Accuracy:74.43
Epoch:429   Accuracy:74.30
Epoch:430   Accuracy:74.34
Epoch:431   Accuracy:74.09
Epoch:432   Accuracy:74.22
Epoch:433   Accuracy:73.66
Epoch:434   Accuracy:74.05
Epoch:435   Accuracy:73.69
Epoch:436   Accuracy:74.29
Epoch:437   Accuracy:74.02
Epoch:438   Accuracy:74.06
Epoch:439   Accuracy:73.86
Epoch:440   Accuracy:74.22
Epoch:441   Accuracy:73.60
Epoch:442   Accuracy:74.36
Epoch:443   Accuracy:73.81
Epoch:444   Accuracy:74.20
Epoch:445   Accuracy:74.13
Epoch:446   Accuracy:73.71
Epoch:447   Accuracy:74.17
Epoch:448   Accuracy:74.14
Epoch:449   Accuracy:74.01
Epoch:450   Accuracy:74.22
Epoch:451   Accuracy:73.85
Epoch:452   Accuracy:73.84
Epoch:453   Accuracy:74.28
Epoch:454   Accuracy:74.40
Epoch:455   Accuracy:74.45
Epoch:456   Accuracy:74.15
Epoch:457   Accuracy:73.88
Epoch:458   Accuracy:74.47
Epoch:459   Accuracy:74.73
Epoch:460   Accuracy:73.77
Epoch:461   Accuracy:74.45
Epoch:462   Accuracy:73.98
Epoch:463   Accuracy:74.28
Epoch:464   Accuracy:74.07
Epoch:465   Accuracy:73.61
Epoch:466   Accuracy:74.11
Epoch:467   Accuracy:74.01
Epoch:468   Accuracy:74.06
Epoch:469   Accuracy:74.02
Epoch:470   Accuracy:74.13
Epoch:471   Accuracy:74.78
Epoch:472   Accuracy:73.86
Epoch:473   Accuracy:74.25
Epoch:474   Accuracy:74.22
Epoch:475   Accuracy:74.08
Epoch:476   Accuracy:73.88
Epoch:477   Accuracy:74.67
Epoch:478   Accuracy:74.61
Epoch:479   Accuracy:74.48
Epoch:480   Accuracy:74.47
Epoch:481   Accuracy:74.64
Epoch:482   Accuracy:74.41
Epoch:483   Accuracy:74.50
Epoch:484   Accuracy:74.33
Epoch:485   Accuracy:73.89
Epoch:486   Accuracy:74.11
Epoch:487   Accuracy:74.21
Epoch:488   Accuracy:74.42
Epoch:489   Accuracy:74.45
Epoch:490   Accuracy:74.50
Epoch:491   Accuracy:74.62
Epoch:492   Accuracy:74.62
Epoch:493   Accuracy:74.34
Epoch:494   Accuracy:74.14
Epoch:495   Accuracy:74.22
Epoch:496   Accuracy:74.45
Epoch:497   Accuracy:74.38
Epoch:498   Accuracy:73.96
Epoch:499   Accuracy:74.27
Epoch:500   Accuracy:74.55
