Numer of labeled samples:36339   AUC:0.841
Numer of labeled samples:36079   AUC:0.837
Numer of labeled samples:36271   AUC:0.831
Numer of labeled samples:36543   AUC:0.838
Numer of labeled samples:35889   AUC:0.835
Numer of labeled samples:35985   AUC:0.835
Numer of labeled samples:36408   AUC:0.838
Numer of labeled samples:36255   AUC:0.840
Numer of labeled samples:35944   AUC:0.835
Numer of labeled samples:36541   AUC:0.839
Numer of labeled samples:35874   AUC:0.837
Numer of labeled samples:36634   AUC:0.839
Numer of labeled samples:36322   AUC:0.839
Numer of labeled samples:36363   AUC:0.839
Numer of labeled samples:36385   AUC:0.829
Numer of labeled samples:36487   AUC:0.834
Numer of labeled samples:36591   AUC:0.840
Numer of labeled samples:36471   AUC:0.839
Numer of labeled samples:36464   AUC:0.839
Numer of labeled samples:35806   AUC:0.838
Numer of labeled samples:36357   AUC:0.841
Numer of labeled samples:32321   AUC:0.818
Numer of labeled samples:36470   AUC:0.828
Numer of labeled samples:36436   AUC:0.839
Numer of labeled samples:37081   AUC:0.848
Numer of labeled samples:37028   AUC:0.848
Numer of labeled samples:37219   AUC:0.850
Numer of labeled samples:37225   AUC:0.850
Numer of labeled samples:37373   AUC:0.850
Numer of labeled samples:37464   AUC:0.847
Numer of labeled samples:37424   AUC:0.852
Numer of labeled samples:37428   AUC:0.849
Numer of labeled samples:37607   AUC:0.851
Numer of labeled samples:37622   AUC:0.849
Numer of labeled samples:37671   AUC:0.852
Numer of labeled samples:37492   AUC:0.848
Numer of labeled samples:37625   AUC:0.849
Numer of labeled samples:37609   AUC:0.846
Numer of labeled samples:37626   AUC:0.850
Numer of labeled samples:37561   AUC:0.849
Numer of labeled samples:37853   AUC:0.851
Numer of labeled samples:37760   AUC:0.850
Numer of labeled samples:37720   AUC:0.853
Numer of labeled samples:37799   AUC:0.852
Numer of labeled samples:37963   AUC:0.850
Numer of labeled samples:37823   AUC:0.847
Numer of labeled samples:38002   AUC:0.852
Numer of labeled samples:37923   AUC:0.853
Numer of labeled samples:38047   AUC:0.851
Numer of labeled samples:37905   AUC:0.847
Numer of labeled samples:38055   AUC:0.850
Numer of labeled samples:38050   AUC:0.848
Numer of labeled samples:38331   AUC:0.852
Numer of labeled samples:37994   AUC:0.854
Numer of labeled samples:38148   AUC:0.849
Numer of labeled samples:38097   AUC:0.856
Numer of labeled samples:38211   AUC:0.850
Numer of labeled samples:38151   AUC:0.851
Numer of labeled samples:38160   AUC:0.855
Numer of labeled samples:38280   AUC:0.845
Numer of labeled samples:38185   AUC:0.848
Numer of labeled samples:38084   AUC:0.852
Numer of labeled samples:38279   AUC:0.854
Numer of labeled samples:38306   AUC:0.856
Numer of labeled samples:38291   AUC:0.849
Numer of labeled samples:38255   AUC:0.848
Numer of labeled samples:38325   AUC:0.849
Numer of labeled samples:38282   AUC:0.852
Numer of labeled samples:38776   AUC:0.852
Numer of labeled samples:38246   AUC:0.847
Numer of labeled samples:38413   AUC:0.849
Numer of labeled samples:38388   AUC:0.854
Numer of labeled samples:38380   AUC:0.855
Numer of labeled samples:38427   AUC:0.856
Numer of labeled samples:38390   AUC:0.853
Numer of labeled samples:38249   AUC:0.848
Numer of labeled samples:38383   AUC:0.857
Numer of labeled samples:38322   AUC:0.851
Numer of labeled samples:38492   AUC:0.851
Numer of labeled samples:38304   AUC:0.849
Numer of labeled samples:38636   AUC:0.852
Numer of labeled samples:38447   AUC:0.856
Numer of labeled samples:38768   AUC:0.854
Numer of labeled samples:38551   AUC:0.851
Numer of labeled samples:38701   AUC:0.854
Numer of labeled samples:38540   AUC:0.847
Numer of labeled samples:38857   AUC:0.855
Numer of labeled samples:38541   AUC:0.851
Numer of labeled samples:38909   AUC:0.857
Numer of labeled samples:38536   AUC:0.849
Numer of labeled samples:38704   AUC:0.857
Numer of labeled samples:38597   AUC:0.851
Numer of labeled samples:38765   AUC:0.852
Numer of labeled samples:38558   AUC:0.849
Numer of labeled samples:38749   AUC:0.854
Numer of labeled samples:38619   AUC:0.850
Numer of labeled samples:38723   AUC:0.851
Numer of labeled samples:38840   AUC:0.852
Numer of labeled samples:38775   AUC:0.852
Numer of labeled samples:38711   AUC:0.846
Numer of labeled samples:38771   AUC:0.853
Numer of labeled samples:38752   AUC:0.852
Numer of labeled samples:38964   AUC:0.852
Numer of labeled samples:38820   AUC:0.852
Numer of labeled samples:38781   AUC:0.850
Numer of labeled samples:38719   AUC:0.854
Numer of labeled samples:39001   AUC:0.853
Numer of labeled samples:38761   AUC:0.850
Numer of labeled samples:38859   AUC:0.852
Numer of labeled samples:38808   AUC:0.846
